,urn,component,size,size_hh,n
0,132193,1,13,3478,1
1,134849,1,13,3478,1
2,95108,1,13,3478,1
3,95044,1,13,3478,1
4,127257,1,13,3478,1
5,95024,1,13,3478,1
6,95061,1,13,3478,1
7,95062,1,13,3478,1
8,95064,1,13,3478,1
9,95033,1,13,3478,1
10,95034,1,13,3478,1
11,95067,1,13,3478,1
12,95068,1,13,3478,1
0,95020,2,5,1617,1
1,95025,2,5,1617,1
2,95063,2,5,1617,1
3,95065,2,5,1617,1
4,95066,2,5,1617,1
0,95031,3,2,654,1
1,95071,3,2,654,1
0,95030,4,1,141,1
0,95022,5,1,157,1
0,125354,6,1,77,1
0,95035,7,1,184,1
0,95051,8,1,80,1
0,95103,9,1,15,1
0,95057,10,1,86,1
0,95053,11,1,80,1
0,95047,12,1,111,1
0,95037,13,1,174,1
0,95045,14,1,94,1
0,95038,15,1,95,1
0,95059,16,1,110,1
0,136176,17,1,39,1
0,95032,18,1,167,1
0,95054,19,1,72,1
0,95058,20,1,99,1
0,95056,21,1,84,1
0,95041,22,1,92,1
0,95043,23,1,100,1
0,95023,24,1,160,1
0,95052,25,1,93,1
0,95021,26,1,167,1
0,95055,27,1,88,1
0,95027,28,1,80,1
0,95019,29,1,12,1
0,95039,30,1,96,1
0,95046,31,1,86,1
0,95060,32,1,108,1
0,95026,33,1,86,1
0,95042,34,1,89,1
0,95040,35,1,91,1
0,131819,36,1,38,1
0,95048,37,1,66,1
0,95049,38,1,14,1
0,95018,39,1,16,1
0,129655,40,1,3,1
0,95104,41,1,11,1
0,135698,42,1,128,1
0,95108,1,31,6776,2
1,127257,1,31,6776,2
2,95019,1,31,6776,2
3,95020,1,31,6776,2
4,95021,1,31,6776,2
5,95022,1,31,6776,2
6,95024,1,31,6776,2
7,95030,1,31,6776,2
8,95031,1,31,6776,2
9,95032,1,31,6776,2
10,95033,1,31,6776,2
11,95034,1,31,6776,2
12,95035,1,31,6776,2
13,95037,1,31,6776,2
14,95044,1,31,6776,2
15,95047,1,31,6776,2
16,95049,1,31,6776,2
17,95056,1,31,6776,2
18,95059,1,31,6776,2
19,95060,1,31,6776,2
20,95061,1,31,6776,2
21,95062,1,31,6776,2
22,95063,1,31,6776,2
23,95064,1,31,6776,2
24,95065,1,31,6776,2
25,95066,1,31,6776,2
26,95067,1,31,6776,2
27,95068,1,31,6776,2
28,95071,1,31,6776,2
29,132193,1,31,6776,2
30,131819,1,31,6776,2
0,125354,2,1,77,2
0,95051,3,1,80,2
0,95103,4,1,15,2
0,95057,5,1,86,2
0,95053,6,1,80,2
0,95025,7,1,75,2
0,95045,8,1,94,2
0,95038,9,1,95,2
0,136176,10,1,39,2
0,95054,11,1,72,2
0,95058,12,1,99,2
0,134849,13,1,79,2
0,95041,14,1,92,2
0,95043,15,1,100,2
0,95023,16,1,160,2
0,95052,17,1,93,2
0,95055,18,1,88,2
0,95027,19,1,80,2
0,95039,20,1,96,2
0,95046,21,1,86,2
0,95026,22,1,86,2
0,95042,23,1,89,2
0,95040,24,1,91,2
0,95048,25,1,66,2
0,95018,26,1,16,2
0,129655,27,1,3,2
0,95104,28,1,11,2
0,135698,29,1,128,2
0,95064,1,1,605,3
0,95108,2,15,3844,3
1,95052,2,15,3844,3
2,95022,2,15,3844,3
3,95056,2,15,3844,3
4,95024,2,15,3844,3
5,95033,2,15,3844,3
6,95061,2,15,3844,3
7,95062,2,15,3844,3
8,95063,2,15,3844,3
9,95030,2,15,3844,3
10,95065,2,15,3844,3
11,95034,2,15,3844,3
12,95067,2,15,3844,3
13,95068,2,15,3844,3
14,95071,2,15,3844,3
0,132193,3,2,735,3
1,127257,3,2,735,3
0,95066,4,4,919,3
1,95035,4,4,919,3
2,95045,4,4,919,3
3,95031,4,4,919,3
0,125354,5,1,77,3
0,95051,6,1,80,3
0,95103,7,1,15,3
0,95057,8,1,86,3
0,95053,9,1,80,3
0,95025,10,1,75,3
0,95047,11,1,111,3
0,95037,12,1,174,3
0,95038,13,1,95,3
0,95048,14,2,192,3
1,95020,14,2,192,3
0,95059,15,1,110,3
0,136176,16,1,39,3
0,95032,17,1,167,3
0,95054,18,1,72,3
0,95058,19,1,99,3
0,134849,20,1,79,3
0,95041,21,1,92,3
0,95043,22,1,100,3
0,95023,23,1,160,3
0,95021,24,1,167,3
0,95055,25,1,88,3
0,95027,26,1,80,3
0,95019,27,1,12,3
0,95039,28,1,96,3
0,95046,29,1,86,3
0,95060,30,1,108,3
0,95026,31,1,86,3
0,95042,32,1,89,3
0,95040,33,1,91,3
0,131819,34,1,38,3
0,95044,35,1,79,3
0,95049,36,1,14,3
0,95018,37,1,16,3
0,129655,38,1,3,3
0,95104,39,1,11,3
0,135698,40,1,128,3
0,95064,1,2,849,4
1,127257,1,2,849,4
0,95045,2,7,1880,4
1,95023,2,7,1880,4
2,95065,2,7,1880,4
3,95066,2,7,1880,4
4,95035,2,7,1880,4
5,95068,2,7,1880,4
6,95039,2,7,1880,4
0,132193,3,18,3634,4
1,95108,3,18,3634,4
2,95047,3,18,3634,4
3,95019,3,18,3634,4
4,95020,3,18,3634,4
5,95053,3,18,3634,4
6,95063,3,18,3634,4
7,95024,3,18,3634,4
8,95025,3,18,3634,4
9,95032,3,18,3634,4
10,95059,3,18,3634,4
11,95061,3,18,3634,4
12,95030,3,18,3634,4
13,95031,3,18,3634,4
14,95062,3,18,3634,4
15,95033,3,18,3634,4
16,95037,3,18,3634,4
17,95071,3,18,3634,4
0,95067,4,2,447,4
1,95060,4,2,447,4
0,95022,5,1,157,4
0,95048,6,2,139,4
1,125354,6,2,139,4
0,95051,7,1,80,4
0,95103,8,1,15,4
0,95057,9,1,86,4
0,95038,10,1,95,4
0,136176,11,1,39,4
0,95054,12,1,72,4
0,95058,13,1,99,4
0,95056,14,1,84,4
0,134849,15,1,79,4
0,95034,16,1,141,4
0,95041,17,1,92,4
0,95043,18,1,100,4
0,95052,19,1,93,4
0,95021,20,1,167,4
0,95055,21,1,88,4
0,95027,22,1,80,4
0,95046,23,1,86,4
0,95026,24,1,86,4
0,95042,25,1,89,4
0,95040,26,1,91,4
0,131819,27,1,38,4
0,95044,28,1,79,4
0,95049,29,1,14,4
0,95018,30,1,16,4
0,129655,31,1,3,4
0,95104,32,1,11,4
0,135698,33,1,128,4
0,132193,1,17,4227,5
1,95042,1,17,4227,5
2,95019,1,17,4227,5
3,95021,1,17,4227,5
4,95022,1,17,4227,5
5,95031,1,17,4227,5
6,95023,1,17,4227,5
7,95032,1,17,4227,5
8,95058,1,17,4227,5
9,95026,1,17,4227,5
10,95061,1,17,4227,5
11,95065,1,17,4227,5
12,95062,1,17,4227,5
13,95064,1,17,4227,5
14,127257,1,17,4227,5
15,95068,1,17,4227,5
16,95037,1,17,4227,5
0,95071,2,1,503,5
0,95025,3,4,735,5
1,95108,3,4,735,5
2,95030,3,4,735,5
3,95063,3,4,735,5
0,95067,4,1,344,5
0,95066,5,3,764,5
1,95035,5,3,764,5
2,95055,5,3,764,5
0,125354,6,1,77,5
0,95051,7,1,80,5
0,95103,8,1,15,5
0,95057,9,1,86,5
0,95053,10,1,80,5
0,95047,11,1,111,5
0,95045,12,1,94,5
0,95038,13,1,95,5
0,95020,14,1,128,5
0,95059,15,1,110,5
0,136176,16,1,39,5
0,95033,17,1,135,5
0,95054,18,1,72,5
0,95056,19,1,84,5
0,134849,20,1,79,5
0,95034,21,1,141,5
0,95041,22,1,92,5
0,95043,23,1,100,5
0,95052,24,1,93,5
0,95027,25,1,80,5
0,95039,26,1,96,5
0,95046,27,1,86,5
0,95060,28,1,108,5
0,95024,29,1,93,5
0,95040,30,1,91,5
0,131819,31,1,38,5
0,95048,32,1,66,5
0,95044,33,1,79,5
0,95049,34,1,14,5
0,95018,35,1,16,5
0,129655,36,1,3,5
0,95104,37,1,11,5
0,135698,38,1,128,5
0,95064,1,2,777,6
1,95037,1,2,777,6
0,95046,2,7,1583,6
1,95023,2,7,1583,6
2,95055,2,7,1583,6
3,95065,2,7,1583,6
4,95066,2,7,1583,6
5,95035,2,7,1583,6
6,95039,2,7,1583,6
0,95045,3,10,2800,6
1,95031,3,10,2800,6
2,95063,3,10,2800,6
3,95056,3,10,2800,6
4,95061,3,10,2800,6
5,95030,3,10,2800,6
6,95062,3,10,2800,6
7,95032,3,10,2800,6
8,95068,3,10,2800,6
9,95071,3,10,2800,6
0,132193,4,1,491,6
0,95048,5,5,618,6
1,95049,5,5,618,6
2,125354,5,5,618,6
3,95020,5,5,618,6
4,95067,5,5,618,6
0,95022,6,1,157,6
