,urn,component,size,size_hh,n
0,132193,1,8,3780,1
1,95061,1,8,3780,1
2,95062,1,8,3780,1
3,95063,1,8,3780,1
4,95064,1,8,3780,1
5,95065,1,8,3780,1
6,95066,1,8,3780,1
7,95068,1,8,3780,1
0,95071,2,1,503,1
0,95067,3,1,344,1
0,95108,4,1,53,1
0,136176,5,1,39,1
0,95018,6,1,16,1
0,129655,7,1,3,1
0,95104,8,1,11,1
0,95064,1,1,605,2
0,95108,2,5,1471,2
1,136176,2,5,1471,2
2,95061,2,5,1471,2
3,95065,2,5,1471,2
4,95066,2,5,1471,2
0,95067,3,2,844,2
1,95071,3,2,844,2
0,95068,4,2,919,2
1,95062,4,2,919,2
0,132193,5,1,491,2
0,95063,6,1,450,2
0,95018,7,1,16,2
0,129655,8,1,3,2
0,95104,9,1,11,2
0,132193,1,9,3827,3
1,95108,1,9,3827,3
2,95061,1,9,3827,3
3,95062,1,9,3827,3
4,95063,1,9,3827,3
5,95064,1,9,3827,3
6,95065,1,9,3827,3
7,95066,1,9,3827,3
8,95068,1,9,3827,3
0,95071,2,1,503,3
0,95067,3,1,344,3
0,136176,4,1,39,3
0,95018,5,1,16,3
0,129655,6,1,3,3
0,95104,7,1,11,3
0,132193,1,6,2841,4
1,95061,1,6,2841,4
2,95064,1,6,2841,4
3,95065,1,6,2841,4
4,95066,1,6,2841,4
5,95068,1,6,2841,4
0,95071,2,1,503,4
0,95062,3,1,552,4
0,95063,4,1,450,4
0,95067,5,1,344,4
0,95108,6,1,53,4
0,136176,7,1,39,4
0,95018,8,1,16,4
0,129655,9,1,3,4
0,95104,10,1,11,4
0,95064,1,3,1140,5
1,132193,1,3,1140,5
2,95108,1,3,1140,5
0,95065,2,1,516,5
0,95061,3,6,2556,5
1,95062,3,6,2556,5
2,95063,3,6,2556,5
3,95067,3,6,2556,5
4,95068,3,6,2556,5
5,95071,3,6,2556,5
0,95066,4,1,506,5
0,136176,5,1,39,5
0,95018,6,1,16,5
0,129655,7,1,3,5
0,95104,8,1,11,5
0,95064,1,4,1447,6
1,95067,1,4,1447,6
2,95108,1,4,1447,6
3,95063,1,4,1447,6
0,95061,2,6,2272,6
1,95062,2,6,2272,6
2,129655,2,6,2272,6
3,95065,2,6,2272,6
4,95066,2,6,2272,6
5,95068,2,6,2272,6
0,95071,3,1,503,6
0,132193,4,1,491,6
0,136176,5,1,39,6
0,95018,6,1,16,6
0,95104,7,1,11,6
0,95064,1,1,605,7
0,95061,2,5,2270,7
1,95062,2,5,2270,7
2,95065,2,5,2270,7
3,95066,2,5,2270,7
4,95068,2,5,2270,7
0,95071,3,1,503,7
0,132193,4,1,491,7
0,95063,5,1,450,7
0,95067,6,1,344,7
0,95108,7,1,53,7
0,136176,8,1,39,7
0,95018,9,1,16,7
0,129655,10,1,3,7
0,95104,11,1,11,7
0,132193,1,9,4118,8
1,95061,1,9,4118,8
2,95062,1,9,4118,8
3,95063,1,9,4118,8
4,95064,1,9,4118,8
5,95066,1,9,4118,8
6,95067,1,9,4118,8
7,95068,1,9,4118,8
8,95071,1,9,4118,8
0,95065,2,1,516,8
0,95108,3,1,53,8
0,136176,4,1,39,8
0,95018,5,1,16,8
0,129655,6,1,3,8
0,95104,7,1,11,8
0,95064,1,2,1089,9
1,132193,1,2,1089,9
0,95061,2,6,2703,9
1,95062,2,6,2703,9
2,95063,2,6,2703,9
3,95065,2,6,2703,9
4,95066,2,6,2703,9
5,95068,2,6,2703,9
0,95071,3,1,503,9
0,95067,4,1,344,9
0,95108,5,1,53,9
0,136176,6,1,39,9
0,95018,7,1,16,9
0,129655,8,1,3,9
0,95104,9,1,11,9
