,urn,component,size,size_hh,n
0,95030,1,1,52,1
0,95022,2,1,81,1
0,125354,3,1,33,1
0,95035,4,1,89,1
0,127257,5,1,132,1
0,95065,6,1,98,1
0,95063,7,1,85,1
0,95051,8,1,43,1
0,95103,9,1,3,1
0,95064,10,1,104,1
0,95057,11,1,37,1
0,95053,12,1,34,1
0,95025,13,1,23,1
0,95047,14,1,59,1
0,95037,15,1,81,1
0,95045,16,1,38,1
0,95038,17,1,45,1
0,95020,18,1,64,1
0,95059,19,1,45,1
0,95032,20,1,71,1
0,95031,21,1,67,1
0,95033,22,2,129,1
1,95061,22,2,129,1
0,95054,23,1,26,1
0,95058,24,1,50,1
0,95056,25,1,33,1
0,134849,26,1,36,1
0,95034,27,1,65,1
0,95041,28,1,42,1
0,95043,29,1,39,1
0,95023,30,1,68,1
0,95021,31,1,81,1
0,95055,32,1,45,1
0,95027,33,2,84,1
1,95068,33,2,84,1
0,95019,34,1,4,1
0,95039,35,1,51,1
0,95052,36,1,46,1
0,95046,37,1,40,1
0,95060,38,1,53,1
0,95026,39,1,41,1
0,95024,40,1,42,1
0,95042,41,1,38,1
0,95040,42,1,41,1
0,131819,43,1,16,1
0,95048,44,1,26,1
0,95108,45,1,30,1
0,95044,46,1,32,1
0,132193,47,1,83,1
0,95067,48,1,66,1
0,95049,49,1,1,1
0,95062,50,1,100,1
0,95066,51,1,63,1
0,95071,52,1,90,1
0,95018,53,1,7,1
0,95104,54,1,5,1
0,135698,55,1,49,1
0,95030,1,1,52,2
0,95022,2,1,81,2
0,125354,3,1,33,2
0,95035,4,1,89,2
0,127257,5,1,132,2
0,95065,6,1,98,2
0,95063,7,1,85,2
0,95051,8,1,43,2
0,95103,9,1,3,2
0,95064,10,1,104,2
0,95057,11,1,37,2
0,95053,12,1,34,2
0,95025,13,1,23,2
0,95047,14,1,59,2
0,95037,15,1,81,2
0,95045,16,1,38,2
0,95038,17,1,45,2
0,95020,18,1,64,2
0,95059,19,1,45,2
0,95032,20,1,71,2
0,95031,21,1,67,2
0,95033,22,1,55,2
0,95054,23,1,26,2
0,132193,24,2,132,2
1,95058,24,2,132,2
0,95056,25,1,33,2
0,134849,26,1,36,2
0,95034,27,1,65,2
0,95041,28,1,42,2
0,95043,29,1,39,2
0,95023,30,1,68,2
0,95021,31,1,81,2
0,95055,32,1,45,2
0,95027,33,1,42,2
0,95019,34,1,4,2
0,95039,35,1,51,2
0,95052,36,1,46,2
0,95046,37,1,40,2
0,95060,38,1,53,2
0,95026,39,1,41,2
0,95024,40,2,115,2
1,95061,40,2,115,2
0,95042,41,1,38,2
0,95040,42,1,41,2
0,131819,43,1,16,2
0,95048,44,1,26,2
0,95108,45,1,30,2
0,95044,46,1,32,2
0,95067,47,1,66,2
0,95049,48,1,1,2
0,95062,49,1,100,2
0,95066,50,1,63,2
0,95071,51,1,90,2
0,95068,52,1,43,2
0,95018,53,1,7,2
0,95104,54,1,5,2
0,135698,55,1,49,2
0,95030,1,1,52,3
0,95022,2,1,81,3
0,125354,3,1,33,3
0,95035,4,1,89,3
0,127257,5,1,132,3
0,95065,6,1,98,3
0,95025,7,2,106,3
1,95063,7,2,106,3
0,95051,8,1,43,3
0,95103,9,1,3,3
0,95064,10,1,104,3
0,95057,11,1,37,3
0,95053,12,1,34,3
0,95047,13,1,59,3
0,95037,14,1,81,3
0,95045,15,1,38,3
0,95038,16,1,45,3
0,95020,17,1,64,3
0,95059,18,1,45,3
0,95032,19,1,71,3
0,95031,20,1,67,3
0,95033,21,1,55,3
0,95054,22,1,26,3
0,95058,23,1,50,3
0,95056,24,1,33,3
0,134849,25,1,36,3
0,95034,26,1,65,3
0,95041,27,1,42,3
0,95043,28,1,39,3
0,95023,29,1,68,3
0,95021,30,1,81,3
0,95055,31,1,45,3
0,95027,32,1,42,3
0,95019,33,1,4,3
0,95039,34,1,51,3
0,95052,35,1,46,3
0,95046,36,1,40,3
0,95060,37,1,53,3
0,95026,38,1,41,3
0,95024,39,1,42,3
0,95042,40,1,38,3
0,95040,41,1,41,3
0,131819,42,1,16,3
0,95048,43,1,26,3
0,95108,44,1,30,3
0,95044,45,1,32,3
0,132193,46,1,83,3
0,95067,47,1,66,3
0,95061,48,1,75,3
0,95049,49,1,1,3
0,95062,50,1,100,3
0,95066,51,1,63,3
0,95071,52,1,90,3
0,95068,53,1,43,3
0,95018,54,1,7,3
0,95104,55,1,5,3
0,135698,56,1,49,3
0,95030,1,1,52,4
0,95022,2,1,81,4
0,125354,3,1,33,4
0,95035,4,1,89,4
0,127257,5,1,132,4
0,95065,6,1,98,4
0,95063,7,1,85,4
0,95051,8,1,43,4
0,95103,9,1,3,4
0,95064,10,1,104,4
0,95057,11,1,37,4
0,95053,12,1,34,4
0,95025,13,1,23,4
0,95047,14,1,59,4
0,95037,15,1,81,4
0,95045,16,1,38,4
0,95038,17,1,45,4
0,95020,18,1,64,4
0,95059,19,1,45,4
0,95032,20,1,71,4
0,95031,21,1,67,4
0,95033,22,1,55,4
0,95054,23,1,26,4
0,95058,24,1,50,4
0,95056,25,1,33,4
0,134849,26,1,36,4
0,95034,27,1,65,4
0,95041,28,1,42,4
0,95043,29,1,39,4
0,95023,30,1,68,4
0,95021,31,1,81,4
0,95055,32,1,45,4
0,95027,33,1,42,4
