,urn,component,size,size_hh,n
0,95030,1,1,141,1
0,95022,2,1,157,1
0,125354,3,2,169,1
1,95052,3,2,169,1
0,95035,4,1,184,1
0,127257,5,3,417,1
1,95059,5,3,417,1
2,95108,5,3,417,1
0,95051,6,1,80,1
0,95103,7,1,15,1
0,95057,8,1,86,1
0,95053,9,1,80,1
0,95025,10,1,75,1
0,95047,11,1,111,1
0,95037,12,1,174,1
0,95045,13,1,94,1
0,95038,14,1,95,1
0,95020,15,1,128,1
0,95032,16,1,167,1
0,95031,17,1,153,1
0,95033,18,1,135,1
0,95054,19,1,72,1
0,95058,20,1,99,1
0,95056,21,1,84,1
0,134849,22,1,79,1
0,95034,23,1,141,1
0,95041,24,1,92,1
0,95043,25,1,100,1
0,95023,26,1,160,1
0,95019,27,2,178,1
1,95021,27,2,178,1
0,95055,28,1,88,1
0,95027,29,1,80,1
0,95039,30,1,96,1
0,95046,31,1,86,1
0,95060,32,1,108,1
0,95026,33,1,86,1
0,95024,34,1,93,1
0,95042,35,1,89,1
0,95040,36,1,91,1
0,131819,37,1,38,1
0,95048,38,1,66,1
0,95044,39,1,79,1
0,95049,40,1,14,1
0,135698,41,1,128,1
0,95030,1,1,141,2
0,95022,2,1,157,2
0,125354,3,1,77,2
0,95035,4,1,184,2
0,127257,5,1,255,2
0,95051,6,1,80,2
0,95103,7,1,15,2
0,95057,8,1,86,2
0,95053,9,1,80,2
0,95025,10,1,75,2
0,95047,11,1,111,2
0,95032,12,3,395,2
1,95108,12,3,395,2
2,95037,12,3,395,2
0,95045,13,1,94,2
0,95038,14,1,95,2
0,95020,15,1,128,2
0,95059,16,1,110,2
0,95031,17,1,153,2
0,95033,18,1,135,2
0,95054,19,1,72,2
0,95058,20,1,99,2
0,95056,21,1,84,2
0,134849,22,1,79,2
0,95034,23,1,141,2
0,95041,24,1,92,2
0,95043,25,1,100,2
0,95023,26,1,160,2
0,95052,27,1,93,2
0,95021,28,1,167,2
0,95055,29,1,88,2
0,95027,30,1,80,2
0,95019,31,1,12,2
0,95039,32,1,96,2
0,95046,33,1,86,2
0,95060,34,1,108,2
0,95026,35,1,86,2
0,95024,36,1,93,2
0,95042,37,1,89,2
0,95040,38,1,91,2
0,131819,39,1,38,2
0,95048,40,1,66,2
0,95044,41,1,79,2
0,95049,42,1,14,2
0,135698,43,1,128,2
0,95030,1,1,141,3
0,95022,2,1,157,3
0,125354,3,1,77,3
0,95035,4,1,184,3
0,127257,5,2,309,3
1,95108,5,2,309,3
0,95051,6,1,80,3
0,95103,7,1,15,3
0,95057,8,1,86,3
0,95053,9,1,80,3
0,95025,10,1,75,3
0,95047,11,1,111,3
0,95037,12,1,174,3
0,95045,13,1,94,3
0,95038,14,1,95,3
0,95020,15,1,128,3
0,95059,16,1,110,3
0,95032,17,1,167,3
0,95031,18,1,153,3
0,95033,19,1,135,3
0,95054,20,1,72,3
0,95058,21,1,99,3
0,95056,22,1,84,3
0,134849,23,1,79,3
0,95034,24,1,141,3
0,95041,25,1,92,3
0,95043,26,1,100,3
0,95023,27,1,160,3
0,95052,28,1,93,3
0,95021,29,1,167,3
0,95055,30,1,88,3
0,95027,31,1,80,3
0,95019,32,1,12,3
0,95039,33,1,96,3
0,95046,34,1,86,3
0,95060,35,1,108,3
0,95026,36,1,86,3
0,95024,37,1,93,3
0,95042,38,1,89,3
0,95040,39,1,91,3
0,131819,40,1,38,3
0,95048,41,1,66,3
0,95044,42,1,79,3
0,95049,43,1,14,3
0,135698,44,1,128,3
0,95033,1,2,275,4
