,urn,component,size,size_hh,n
0,95064,1,1,605,1
0,136176,2,5,1944,1
1,95062,2,5,1944,1
2,95065,2,5,1944,1
3,95066,2,5,1944,1
4,95068,2,5,1944,1
0,95071,3,1,503,1
0,132193,4,1,491,1
0,95067,5,2,791,1
1,95063,5,2,791,1
0,95061,6,1,378,1
0,95108,7,1,53,1
0,95018,8,1,16,1
0,129655,9,1,3,1
0,95104,10,1,11,1
0,132193,1,8,3440,2
1,95018,1,8,3440,2
2,95062,1,8,3440,2
3,95063,1,8,3440,2
4,95064,1,8,3440,2
5,95065,1,8,3440,2
6,95066,1,8,3440,2
7,95068,1,8,3440,2
0,95071,2,1,503,2
0,95067,3,1,344,2
0,95061,4,1,378,2
0,95108,5,1,53,2
0,136176,6,1,39,2
0,129655,7,1,3,2
0,95104,8,1,11,2
0,95064,1,2,1089,3
1,132193,1,2,1089,3
0,95062,2,5,2346,3
1,95063,2,5,2346,3
2,95065,2,5,2346,3
3,95066,2,5,2346,3
4,95068,2,5,2346,3
0,95071,3,1,503,3
0,95067,4,1,344,3
0,95061,5,1,378,3
0,95108,6,1,53,3
0,136176,7,1,39,3
0,95018,8,1,16,3
0,129655,9,1,3,3
0,95104,10,1,11,3
0,95064,1,4,2001,4
1,132193,1,4,2001,4
2,95068,1,4,2001,4
3,95062,1,4,2001,4
0,95065,2,3,1062,4
1,95066,2,3,1062,4
2,95108,2,3,1062,4
0,95061,3,2,879,4
1,95071,3,2,879,4
0,95063,4,1,450,4
0,95067,5,1,344,4
0,136176,6,1,39,4
0,95018,7,1,16,4
0,129655,8,1,3,4
0,95104,9,1,11,4
0,132193,1,5,1980,5
1,129655,1,5,1980,5
2,95064,1,5,1980,5
3,95066,1,5,1980,5
4,95068,1,5,1980,5
0,95065,2,3,1391,5
1,95061,2,3,1391,5
2,95071,2,3,1391,5
0,95062,3,1,552,5
0,95067,4,2,791,5
1,95063,4,2,791,5
0,95108,5,1,53,5
0,136176,6,1,39,5
0,95018,7,1,16,5
0,95104,8,1,11,5
0,95064,1,1,605,6
0,132193,2,9,3629,6
1,95108,2,9,3629,6
2,95061,2,9,3629,6
3,95062,2,9,3629,6
4,95065,2,9,3629,6
5,95066,2,9,3629,6
6,95067,2,9,3629,6
7,95068,2,9,3629,6
8,95071,2,9,3629,6
0,95063,3,1,450,6
0,136176,4,1,39,6
0,95018,5,1,16,6
0,129655,6,1,3,6
0,95104,7,1,11,6
0,132193,1,9,4271,7
1,95061,1,9,4271,7
2,95062,1,9,4271,7
3,95063,1,9,4271,7
4,95064,1,9,4271,7
5,95065,1,9,4271,7
6,95066,1,9,4271,7
7,95068,1,9,4271,7
8,95071,1,9,4271,7
0,95067,2,1,344,7
0,95108,3,1,53,7
0,136176,4,1,39,7
0,95018,5,1,16,7
0,129655,6,1,3,7
0,95104,7,1,11,7
0,95064,1,1,605,8
0,132193,2,9,4011,8
1,95061,2,9,4011,8
2,95062,2,9,4011,8
3,95063,2,9,4011,8
4,95065,2,9,4011,8
5,95066,2,9,4011,8
6,95067,2,9,4011,8
7,95068,2,9,4011,8
8,95071,2,9,4011,8
0,95108,3,1,53,8
0,136176,4,1,39,8
0,95018,5,1,16,8
0,129655,6,1,3,8
0,95104,7,1,11,8
