,urn,component,size,size_hh,n
0,95108,1,33,6801,1
1,135698,1,33,6801,1
2,127257,1,33,6801,1
3,125354,1,33,6801,1
4,95020,1,33,6801,1
5,95023,1,33,6801,1
6,95024,1,33,6801,1
7,95025,1,33,6801,1
8,95026,1,33,6801,1
9,95027,1,33,6801,1
10,95030,1,33,6801,1
11,95033,1,33,6801,1
12,95035,1,33,6801,1
13,95037,1,33,6801,1
14,95042,1,33,6801,1
15,95044,1,33,6801,1
16,95045,1,33,6801,1
17,95046,1,33,6801,1
18,95048,1,33,6801,1
19,95053,1,33,6801,1
20,95057,1,33,6801,1
21,95060,1,33,6801,1
22,95061,1,33,6801,1
23,95062,1,33,6801,1
24,95063,1,33,6801,1
25,95064,1,33,6801,1
26,95065,1,33,6801,1
27,95066,1,33,6801,1
28,95067,1,33,6801,1
29,95068,1,33,6801,1
30,95071,1,33,6801,1
31,132193,1,33,6801,1
32,136176,1,33,6801,1
0,95022,2,1,157,1
0,95051,3,1,80,1
0,95103,4,1,15,1
0,95047,5,1,111,1
0,95038,6,1,95,1
0,95059,7,1,110,1
0,95032,8,1,167,1
0,95031,9,1,153,1
0,95054,10,1,72,1
0,95058,11,1,99,1
0,95056,12,1,84,1
0,134849,13,1,79,1
0,95034,14,1,141,1
0,95041,15,1,92,1
0,95043,16,1,100,1
0,95052,17,1,93,1
0,95021,18,1,167,1
0,95055,19,1,88,1
0,95019,20,1,12,1
0,95039,21,1,96,1
0,95040,22,1,91,1
0,131819,23,1,38,1
0,95049,24,1,14,1
0,95018,25,1,16,1
0,129655,26,1,3,1
0,95104,27,1,11,1
0,95108,1,40,7511,2
1,127257,1,40,7511,2
2,125354,1,40,7511,2
3,95019,1,40,7511,2
4,95020,1,40,7511,2
5,95021,1,40,7511,2
6,95022,1,40,7511,2
7,95026,1,40,7511,2
8,95027,1,40,7511,2
9,95030,1,40,7511,2
10,95032,1,40,7511,2
11,95033,1,40,7511,2
12,95034,1,40,7511,2
13,95035,1,40,7511,2
14,95037,1,40,7511,2
15,95039,1,40,7511,2
16,95041,1,40,7511,2
17,95044,1,40,7511,2
18,95045,1,40,7511,2
19,95046,1,40,7511,2
20,95047,1,40,7511,2
21,95048,1,40,7511,2
22,95052,1,40,7511,2
23,95053,1,40,7511,2
24,95054,1,40,7511,2
25,95056,1,40,7511,2
26,95057,1,40,7511,2
27,95058,1,40,7511,2
28,95059,1,40,7511,2
29,95060,1,40,7511,2
30,95061,1,40,7511,2
31,95062,1,40,7511,2
32,95063,1,40,7511,2
33,95064,1,40,7511,2
34,95065,1,40,7511,2
35,95066,1,40,7511,2
36,95067,1,40,7511,2
37,95068,1,40,7511,2
38,95071,1,40,7511,2
39,132193,1,40,7511,2
0,95051,2,1,80,2
0,95103,3,1,15,2
0,95025,4,1,75,2
0,95038,5,1,95,2
0,136176,6,1,39,2
0,95031,7,1,153,2
0,134849,8,1,79,2
0,95043,9,1,100,2
0,95023,10,1,160,2
0,95055,11,1,88,2
0,95024,12,1,93,2
0,95042,13,1,89,2
0,95040,14,1,91,2
0,131819,15,1,38,2
0,95049,16,1,14,2
0,95018,17,1,16,2
0,129655,18,1,3,2
0,95104,19,1,11,2
0,135698,20,1,128,2
0,95108,1,26,5918,3
1,127257,1,26,5918,3
2,95019,1,26,5918,3
3,95020,1,26,5918,3
4,95021,1,26,5918,3
5,95022,1,26,5918,3
6,95023,1,26,5918,3
7,95024,1,26,5918,3
8,95025,1,26,5918,3
9,95030,1,26,5918,3
10,95032,1,26,5918,3
11,95033,1,26,5918,3
12,95037,1,26,5918,3
13,95039,1,26,5918,3
14,95044,1,26,5918,3
15,95053,1,26,5918,3
16,95060,1,26,5918,3
17,95061,1,26,5918,3
18,95062,1,26,5918,3
19,95063,1,26,5918,3
20,95064,1,26,5918,3
21,95065,1,26,5918,3
22,95066,1,26,5918,3
23,95067,1,26,5918,3
24,95068,1,26,5918,3
25,132193,1,26,5918,3
0,95047,2,2,610,3
1,95071,2,2,610,3
0,125354,3,1,77,3
0,95035,4,1,184,3
0,95051,5,1,80,3
0,95103,6,1,15,3
0,95057,7,1,86,3
0,95045,8,1,94,3
0,95038,9,1,95,3
0,95059,10,1,110,3
0,136176,11,1,39,3
0,95031,12,1,153,3
0,95054,13,1,72,3
0,95058,14,1,99,3
0,95056,15,1,84,3
0,134849,16,1,79,3
0,95034,17,1,141,3
0,95041,18,1,92,3
0,95043,19,1,100,3
0,95052,20,1,93,3
0,95055,21,1,88,3
0,95027,22,1,80,3
0,95046,23,1,86,3
0,95026,24,1,86,3
0,95042,25,1,89,3
0,95040,26,1,91,3
0,131819,27,1,38,3
0,95048,28,1,66,3
0,95049,29,1,14,3
0,95018,30,1,16,3
0,129655,31,1,3,3
0,95104,32,1,11,3
0,135698,33,1,128,3
0,132193,1,5,1585,4
1,95021,1,5,1585,4
2,95059,1,5,1585,4
3,95064,1,5,1585,4
4,127257,1,5,1585,4
0,95108,2,26,5285,4
1,95024,2,26,5285,4
2,95025,2,26,5285,4
3,95026,2,26,5285,4
4,95030,2,26,5285,4
5,95031,2,26,5285,4
6,95032,2,26,5285,4
7,95033,2,26,5285,4
8,95034,2,26,5285,4
9,95035,2,26,5285,4
10,95037,2,26,5285,4
11,95041,2,26,5285,4
12,95045,2,26,5285,4
13,95046,2,26,5285,4
14,95047,2,26,5285,4
15,95048,2,26,5285,4
16,95055,2,26,5285,4
17,95056,2,26,5285,4
18,95061,2,26,5285,4
19,95062,2,26,5285,4
20,95063,2,26,5285,4
21,95065,2,26,5285,4
22,95066,2,26,5285,4
23,95067,2,26,5285,4
24,95068,2,26,5285,4
25,95071,2,26,5285,4
0,95022,3,1,157,4
0,125354,4,2,203,4
1,95020,4,2,203,4
0,95051,5,1,80,4
0,95103,6,1,15,4
0,95057,7,1,86,4
0,95053,8,1,80,4
0,95038,9,1,95,4
0,136176,10,1,39,4
0,95019,11,2,83,4
1,95054,11,2,83,4
0,95058,12,1,99,4
0,134849,13,1,79,4
0,95043,14,1,100,4
0,95023,15,1,160,4
0,95052,16,1,93,4
0,95027,17,1,80,4
0,95039,18,1,96,4
0,95060,19,1,108,4
0,95042,20,1,89,4
0,95040,21,1,91,4
0,131819,22,1,38,4
0,95044,23,1,79,4
0,95049,24,1,14,4
0,95018,25,1,16,4
0,129655,26,1,3,4
0,95104,27,1,11,4
0,135698,28,1,128,4
0,95108,1,33,6860,5
1,127257,1,33,6860,5
2,125354,1,33,6860,5
3,95020,1,33,6860,5
4,95022,1,33,6860,5
5,95024,1,33,6860,5
6,95026,1,33,6860,5
7,95030,1,33,6860,5
8,95031,1,33,6860,5
9,95033,1,33,6860,5
10,95034,1,33,6860,5
11,95035,1,33,6860,5
12,95037,1,33,6860,5
13,95047,1,33,6860,5
14,95049,1,33,6860,5
15,95051,1,33,6860,5
16,95053,1,33,6860,5
17,95055,1,33,6860,5
18,95056,1,33,6860,5
19,95058,1,33,6860,5
20,95059,1,33,6860,5
21,95060,1,33,6860,5
22,95061,1,33,6860,5
23,95062,1,33,6860,5
24,95063,1,33,6860,5
25,95064,1,33,6860,5
26,95065,1,33,6860,5
27,95066,1,33,6860,5
28,95067,1,33,6860,5
29,95068,1,33,6860,5
30,95071,1,33,6860,5
31,132193,1,33,6860,5
