,urn,component,size,size_hh,n
0,95030,1,1,52,1
0,95022,2,1,81,1
0,125354,3,1,33,1
0,95035,4,1,89,1
0,127257,5,1,132,1
0,95051,6,1,43,1
0,95103,7,1,3,1
0,95057,8,1,37,1
0,95053,9,1,34,1
0,95025,10,1,23,1
0,95041,11,2,100,1
1,95047,11,2,100,1
0,95037,12,1,81,1
0,95045,13,1,38,1
0,95038,14,1,45,1
0,95020,15,1,64,1
0,95059,16,1,45,1
0,95032,17,1,71,1
0,95031,18,1,67,1
0,95033,19,1,55,1
0,95054,20,1,26,1
0,95058,21,1,50,1
0,95056,22,1,33,1
0,134849,23,1,36,1
0,95034,24,1,65,1
0,95043,25,1,39,1
0,95023,26,1,68,1
0,95021,27,1,81,1
0,95055,28,1,45,1
0,95027,29,1,42,1
0,95019,30,1,4,1
0,95039,31,1,51,1
0,95052,32,1,46,1
0,95046,33,1,40,1
0,95060,34,1,53,1
0,95026,35,1,41,1
0,95024,36,1,42,1
0,95042,37,1,38,1
0,95040,38,1,41,1
0,131819,39,1,16,1
0,95048,40,1,26,1
0,95108,41,1,22,1
0,95044,42,1,32,1
0,95049,43,1,1,1
0,135698,44,1,49,1
0,95030,1,1,52,2
0,95022,2,1,81,2
0,125354,3,1,33,2
0,95035,4,1,89,2
0,127257,5,1,132,2
0,95051,6,1,43,2
0,95103,7,1,3,2
0,95057,8,1,37,2
0,95053,9,1,34,2
0,95025,10,1,23,2
0,95047,11,1,59,2
0,95037,12,1,81,2
0,95045,13,1,38,2
0,95038,14,1,45,2
0,95020,15,1,64,2
0,95059,16,1,45,2
0,95032,17,1,71,2
0,95031,18,1,67,2
0,95033,19,1,55,2
0,95054,20,1,26,2
0,95058,21,1,50,2
0,95056,22,1,33,2
0,134849,23,1,36,2
0,95034,24,1,65,2
0,95041,25,1,42,2
0,95043,26,1,39,2
0,95023,27,1,68,2
0,95021,28,1,81,2
0,95055,29,1,45,2
0,95027,30,1,42,2
0,95019,31,1,4,2
0,95039,32,1,51,2
0,95052,33,1,46,2
0,95046,34,1,40,2
0,95060,35,1,53,2
0,95026,36,1,41,2
0,95024,37,1,42,2
0,95042,38,1,38,2
0,95040,39,1,41,2
0,131819,40,1,16,2
0,95048,41,1,26,2
0,95108,42,1,22,2
0,95044,43,1,32,2
0,95049,44,1,1,2
0,135698,45,1,49,2
0,95030,1,1,52,3
0,95022,2,1,81,3
0,125354,3,2,96,3
1,95020,3,2,96,3
0,95035,4,1,89,3
0,127257,5,1,132,3
0,95051,6,1,43,3
0,95103,7,1,3,3
0,95057,8,1,37,3
0,95053,9,1,34,3
0,95025,10,1,23,3
0,95047,11,1,59,3
0,95037,12,1,81,3
0,95045,13,1,38,3
0,95038,14,1,45,3
0,95059,15,1,45,3
0,95032,16,1,71,3
0,95031,17,1,67,3
0,95033,18,1,55,3
0,95054,19,1,26,3
0,95058,20,1,50,3
0,95056,21,1,33,3
0,134849,22,1,36,3
0,95034,23,1,65,3
0,95041,24,1,42,3
0,95043,25,1,39,3
0,95023,26,1,68,3
0,95021,27,1,81,3
0,95055,28,1,45,3
0,95027,29,1,42,3
0,95019,30,1,4,3
0,95039,31,1,51,3
0,95052,32,1,46,3
0,95046,33,1,40,3
0,95060,34,1,53,3
0,95026,35,1,41,3
0,95024,36,1,42,3
0,95042,37,1,38,3
0,95040,38,1,41,3
0,131819,39,1,16,3
0,95048,40,1,26,3
0,95108,41,1,22,3
0,95044,42,1,32,3
0,95049,43,1,1,3
0,135698,44,1,49,3
0,95030,1,1,52,4
0,95022,2,1,81,4
0,125354,3,1,33,4
0,95035,4,1,89,4
0,127257,5,1,132,4
0,95051,6,1,43,4
0,95103,7,1,3,4
0,95057,8,1,37,4
0,95053,9,1,34,4
0,95025,10,1,23,4
0,95047,11,1,59,4
0,95037,12,1,81,4
0,95045,13,1,38,4
0,95038,14,1,45,4
0,95020,15,1,64,4
0,95059,16,1,45,4
0,95032,17,1,71,4
0,95031,18,1,67,4
0,95033,19,1,55,4
0,95054,20,1,26,4
0,95058,21,1,50,4
0,95056,22,1,33,4
0,134849,23,1,36,4
0,95034,24,1,65,4
0,95041,25,1,42,4
0,95043,26,1,39,4
0,95023,27,1,68,4
0,95021,28,1,81,4
0,95055,29,1,45,4
0,95027,30,1,42,4
0,95019,31,1,4,4
0,95039,32,1,51,4
0,95052,33,1,46,4
0,95046,34,1,40,4
0,95060,35,1,53,4
0,95026,36,1,41,4
0,95024,37,1,42,4
0,95042,38,1,38,4
0,95040,39,1,41,4
0,131819,40,1,16,4
0,95048,41,1,26,4
0,95108,42,1,22,4
0,95044,43,1,32,4
0,95049,44,1,1,4
0,135698,45,1,49,4
0,95030,1,1,52,5
0,95022,2,1,81,5
0,125354,3,1,33,5
0,95035,4,1,89,5
0,127257,5,1,132,5
0,95051,6,1,43,5
0,95103,7,1,3,5
0,95057,8,1,37,5
0,95053,9,1,34,5
0,95025,10,1,23,5
0,95047,11,1,59,5
0,95037,12,1,81,5
0,95045,13,1,38,5
0,95038,14,1,45,5
0,95020,15,1,64,5
0,95059,16,1,45,5
0,95032,17,1,71,5
0,95031,18,1,67,5
0,95033,19,1,55,5
0,95054,20,1,26,5
0,95058,21,1,50,5
0,95056,22,1,33,5
0,134849,23,1,36,5
0,95034,24,1,65,5
