,urn,component,size,size_hh,n
0,95020,1,27,5935,1
1,95021,1,27,5935,1
2,95022,1,27,5935,1
3,95024,1,27,5935,1
4,95025,1,27,5935,1
5,95026,1,27,5935,1
6,95030,1,27,5935,1
7,95032,1,27,5935,1
8,95033,1,27,5935,1
9,95034,1,27,5935,1
10,95037,1,27,5935,1
11,95046,1,27,5935,1
12,95047,1,27,5935,1
13,95051,1,27,5935,1
14,95056,1,27,5935,1
15,95058,1,27,5935,1
16,95059,1,27,5935,1
17,95060,1,27,5935,1
18,95061,1,27,5935,1
19,95062,1,27,5935,1
20,95063,1,27,5935,1
21,95064,1,27,5935,1
22,95065,1,27,5935,1
23,95066,1,27,5935,1
24,95067,1,27,5935,1
25,95068,1,27,5935,1
26,132193,1,27,5935,1
0,95031,2,2,654,1
1,95071,2,2,654,1
0,135698,3,2,236,1
1,95108,3,2,236,1
0,125354,4,1,77,1
0,95035,5,1,184,1
0,127257,6,1,255,1
0,95103,7,1,15,1
0,95057,8,1,86,1
0,95053,9,1,80,1
0,95045,10,1,94,1
0,95038,11,1,95,1
0,136176,12,1,39,1
0,95054,13,1,72,1
0,134849,14,1,79,1
0,95041,15,1,92,1
0,95043,16,1,100,1
0,95023,17,1,160,1
0,95052,18,1,93,1
0,95055,19,1,88,1
0,95027,20,1,80,1
0,95019,21,1,12,1
0,95039,22,1,96,1
0,95042,23,1,89,1
0,95040,24,1,91,1
0,131819,25,1,38,1
0,95048,26,1,66,1
0,95044,27,1,79,1
0,95049,28,1,14,1
0,95018,29,1,16,1
0,129655,30,1,3,1
0,95104,31,1,11,1
0,95064,1,2,715,2
1,95047,1,2,715,2
0,95108,2,26,5870,2
1,127257,2,26,5870,2
2,125354,2,26,5870,2
3,95020,2,26,5870,2
4,95022,2,26,5870,2
5,95024,2,26,5870,2
6,95026,2,26,5870,2
7,95030,2,26,5870,2
8,95032,2,26,5870,2
9,95033,2,26,5870,2
10,95034,2,26,5870,2
11,95035,2,26,5870,2
12,95037,2,26,5870,2
13,95039,2,26,5870,2
14,95041,2,26,5870,2
15,95056,2,26,5870,2
16,95057,2,26,5870,2
17,95061,2,26,5870,2
18,95062,2,26,5870,2
19,95063,2,26,5870,2
20,95065,2,26,5870,2
21,95066,2,26,5870,2
22,95067,2,26,5870,2
23,95068,2,26,5870,2
24,95071,2,26,5870,2
25,132193,2,26,5870,2
0,95051,3,1,80,2
0,95103,4,1,15,2
0,95053,5,1,80,2
0,95025,6,1,75,2
0,95045,7,1,94,2
0,95038,8,1,95,2
0,95059,9,1,110,2
0,136176,10,1,39,2
0,95031,11,1,153,2
0,95054,12,1,72,2
0,95058,13,1,99,2
0,134849,14,1,79,2
0,95043,15,1,100,2
0,95023,16,1,160,2
0,95052,17,1,93,2
0,95021,18,1,167,2
0,95055,19,1,88,2
0,95027,20,1,80,2
0,95019,21,1,12,2
0,95046,22,1,86,2
0,95060,23,1,108,2
0,95042,24,1,89,2
0,95040,25,1,91,2
0,131819,26,1,38,2
0,95048,27,1,66,2
0,95044,28,1,79,2
0,95049,29,1,14,2
0,95018,30,1,16,2
0,129655,31,1,3,2
0,95104,32,1,11,2
0,135698,33,1,128,2
0,95108,1,35,7197,3
1,127257,1,35,7197,3
2,125354,1,35,7197,3
3,95020,1,35,7197,3
4,95021,1,35,7197,3
5,95022,1,35,7197,3
6,95023,1,35,7197,3
7,95025,1,35,7197,3
8,95026,1,35,7197,3
9,95030,1,35,7197,3
10,95031,1,35,7197,3
11,95033,1,35,7197,3
12,95034,1,35,7197,3
13,95035,1,35,7197,3
14,95037,1,35,7197,3
15,95038,1,35,7197,3
16,95039,1,35,7197,3
17,134849,1,35,7197,3
18,95044,1,35,7197,3
19,95045,1,35,7197,3
20,95046,1,35,7197,3
21,95053,1,35,7197,3
