,urn,component,size,size_hh,n
0,95064,1,1,605,1
0,132193,2,5,2392,1
1,95062,2,5,2392,1
2,95065,2,5,2392,1
3,95066,2,5,2392,1
4,95068,2,5,2392,1
0,95071,3,1,503,1
0,95063,4,1,450,1
0,95067,5,1,344,1
0,95061,6,1,378,1
0,95108,7,1,53,1
0,136176,8,1,39,1
0,95018,9,1,16,1
0,129655,10,1,3,1
0,95104,11,1,11,1
0,95064,1,1,605,2
0,95061,2,6,2762,2
1,95062,2,6,2762,2
2,95065,2,6,2762,2
3,95066,2,6,2762,2
4,95068,2,6,2762,2
5,95071,2,6,2762,2
0,132193,3,1,491,2
0,95063,4,1,450,2
0,95067,5,1,344,2
0,95108,6,1,53,2
0,136176,7,1,39,2
0,95018,8,1,16,2
0,129655,9,1,3,2
0,95104,10,1,11,2
0,95064,1,1,605,3
0,95065,2,1,516,3
0,95062,3,5,2331,3
1,95063,3,5,2331,3
2,95066,3,5,2331,3
3,95067,3,5,2331,3
4,95071,3,5,2331,3
0,132193,4,2,882,3
1,95068,4,2,882,3
0,95061,5,1,378,3
0,95108,6,1,53,3
0,136176,7,1,39,3
0,95018,8,1,16,3
0,129655,9,1,3,3
0,95104,10,1,11,3
0,95064,1,3,1658,4
1,95066,1,3,1658,4
2,95062,1,3,1658,4
0,95065,2,3,954,4
1,95108,2,3,954,4
2,95068,2,3,954,4
0,95071,3,1,503,4
0,132193,4,1,491,4
0,95018,5,3,837,4
1,95061,5,3,837,4
2,95063,5,3,837,4
0,95067,6,1,344,4
0,136176,7,1,39,4
0,129655,8,1,3,4
0,95104,9,1,11,4
0,95064,1,2,620,5
1,95018,1,2,620,5
0,95065,2,1,516,5
0,95071,3,1,503,5
0,95068,4,4,1727,5
1,95061,4,4,1727,5
2,95062,4,4,1727,5
3,95063,4,4,1727,5
0,132193,5,1,491,5
0,95067,6,1,344,5
0,95066,7,1,506,5
0,95108,8,1,53,5
0,136176,9,1,39,5
0,129655,10,1,3,5
0,95104,11,1,11,5
0,95064,1,1,605,6
0,95065,2,2,1010,6
1,95066,2,2,1010,6
0,95071,3,1,503,6
0,95018,4,4,1384,6
1,95061,4,4,1384,6
2,95062,4,4,1384,6
3,95063,4,4,1384,6
0,132193,5,1,491,6
0,95068,6,1,393,6
0,95067,7,1,344,6
0,95108,8,1,53,6
0,136176,9,1,39,6
0,129655,10,1,3,6
0,95104,11,1,11,6
0,132193,1,6,2859,7
1,95061,1,6,2859,7
2,95062,1,6,2859,7
3,95064,1,6,2859,7
4,95066,1,6,2859,7
5,95068,1,6,2859,7
0,95065,2,1,516,7
0,95071,3,1,503,7
0,95063,4,1,450,7
0,95067,5,1,344,7
0,95108,6,1,53,7
0,136176,7,1,39,7
0,95018,8,1,16,7
0,129655,9,1,3,7
0,95104,10,1,11,7
0,95064,1,2,1089,8
1,132193,1,2,1089,8
0,95108,2,6,2452,8
1,95062,2,6,2452,8
2,95065,2,6,2452,8
3,95066,2,6,2452,8
4,95068,2,6,2452,8
5,95071,2,6,2452,8
0,95063,3,1,450,8
0,95067,4,1,344,8
0,95061,5,1,378,8
0,136176,6,1,39,8
0,95018,7,1,16,8
0,129655,8,1,3,8
0,95104,9,1,11,8
0,95064,1,3,672,9
1,95018,1,3,672,9
2,95108,1,3,672,9
0,95065,2,4,1907,9
1,95066,2,4,1907,9
2,95068,2,4,1907,9
3,95062,2,4,1907,9
0,95071,3,1,503,9
0,132193,4,1,491,9
0,95063,5,1,450,9
0,95067,6,1,344,9
0,95061,7,1,378,9
0,136176,8,1,39,9
0,129655,9,1,3,9
0,95104,10,1,11,9
0,95064,1,1,605,10
0,95065,2,1,516,10
0,95068,3,2,893,10
1,95071,3,2,893,10
0,95062,4,1,552,10
0,132193,5,4,1806,10
1,95066,5,4,1806,10
2,95061,5,4,1806,10
3,95063,5,4,1806,10
0,95067,6,2,396,10
1,95108,6,2,396,10
0,136176,7,1,39,10
